,t,u,y
465,4.654654654654655,-25.0,-25.233247941223624
466,4.664664664664665,-25.0,-25.24227982474614
467,4.674674674674675,-25.0,-25.24828549111784
468,4.684684684684685,-25.0,-25.25140915318858
469,4.694694694694695,-25.0,-25.251789673534788
470,4.704704704704705,-25.0,-25.249560744224524
471,4.714714714714715,-25.0,-25.244851060838613
472,4.724724724724725,-25.0,-25.237784490926092
473,4.734734734734735,-25.0,-25.22848023706722
474,4.744744744744745,-25.0,-25.217052994711228
475,4.754754754754755,-25.0,-25.203613104951728
476,4.764764764764765,-25.0,-25.188266702397204
477,4.774774774774775,-25.0,-25.17111585828919
478,4.784784784784785,-25.0,-25.1522587190165
479,4.794794794794795,-25.0,-25.131789640168748
480,4.804804804804805,-25.0,-25.109799316268482
481,4.814814814814815,-25.0,-25.086374906316856
482,4.824824824824825,-25.0,-25.06160015528345
483,4.834834834834835,-25.0,-25.035555511667106
484,4.844844844844845,-25.0,-25.008318241250677
485,4.854854854854855,-25.0,-24.979962537168657
486,4.864864864864865,-25.0,-24.950559626403287
487,4.874874874874875,-25.0,-24.920177872820982
488,4.884884884884885,-25.0,-24.88888287685758
489,4.894894894894895,-25.0,-24.856737571957524
490,4.904904904904905,-25.0,-24.823802317868903
491,4.914914914914915,-25.0,-24.7901349908932
492,4.924924924924925,-25.0,-24.755791071185413
493,4.934934934934935,-25.0,-24.720823727197363
494,4.944944944944945,-25.0,-24.685283897354207
495,4.954954954954955,-25.0,-24.649220369051232
496,4.964964964964965,-25.0,-24.61267985505553
497,4.974974974974975,-25.0,-24.575707067394347
498,4.984984984984985,-25.0,-24.538344788809564
499,4.994994994994995,-25.0,-24.500633941855142
500,5.005005005005005,-25.0,-24.462613655712154
501,5.015015015015015,-25.0,-24.424321330793617
502,5.025025025025025,-25.0,-24.38579270120913
503,5.035035035035035,-25.0,-24.347061895157175
504,5.045045045045045,-25.0,-24.308161493310838
505,5.055055055055055,-25.0,-24.26912258526073
506,5.065065065065065,-25.0,-24.229974824076713
507,5.075075075075075,-25.0,-24.190746479048443
508,5.085085085085085,-25.0,-24.15146448666256
509,5.095095095095095,-25.0,-24.112154499872855
510,5.105105105105105,-25.0,-24.07284093571775
511,5.115115115115115,-25.0,-24.03354702133787
512,5.125125125125125,-25.0,-23.994294838444887
513,5.135135135135135,-25.0,-23.95510536629112
514,5.145145145145145,-25.0,-23.915998523187884
515,5.155155155155155,-25.0,-23.876993206619076
516,5.165165165165165,-25.0,-23.83810733199512
517,5.175175175175175,-25.0,-23.799357870090844
518,5.185185185185185,-25.0,-23.76076088320966
519,5.195195195195195,-25.0,-23.722331560114913
520,5.205205205205205,-25.0,-23.684084249768222
521,5.215215215215215,-25.0,-23.646032493913204
522,5.225225225225225,-25.0,-23.608189058541832
523,5.235235235235235,-25.0,-23.570565964279595
524,5.245245245245245,-25.0,-23.533174515724298
525,5.255255255255255,-25.0,-23.496025329772507
526,5.265265265265265,-25.0,-23.45912836296641
527,5.275275275275275,-25.0,-23.42249293789282
528,5.285285285285285,-25.0,-23.38612776866522
529,5.295295295295295,-25.0,-23.35004098551855
530,5.305305305305305,-25.0,-23.314240158545765
531,5.315315315315315,-25.0,-23.278732320604004
532,5.325325325325325,-25.0,-23.243523989417604
533,5.335335335335335,-25.0,-23.208621188904075
534,5.345345345345345,-25.0,-23.174029469748614
535,5.355355355355355,-25.0,-23.13975392925165
536,5.365365365365365,-25.0,-23.105799230473323
537,5.375375375375375,-25.0,-23.072169620698027
538,5.385385385385385,-25.0,-23.038868949241266
539,5.395395395395395,-25.0,-23.005900684620748
540,5.405405405405405,-25.0,-22.973267931112233
541,5.415415415415415,-25.0,-22.940973444711034
542,5.425425425425425,-25.0,-22.90901964851828
543,5.435435435435435,-25.0,-22.87740864757146
544,5.445445445445445,-25.0,-22.846142243137244
545,5.455455455455455,-25.0,-22.815221946484957
546,5.465465465465465,-25.0,-22.784648992157393
547,5.475475475475475,-25.0,-22.75442435075636
548,5.485485485485485,-25.0,-22.724548741258477
549,5.495495495495495,-25.0,-22.695022642877674
550,5.505505505505505,-25.0,-22.66584630648877
551,5.515515515515515,-25.0,-22.63701976562764
552,5.525525525525525,-25.0,-22.608542847081516
553,5.535535535535535,-25.0,-22.580415181083737
554,5.545545545545545,-25.0,-22.55263621112588
555,5.555555555555555,-25.0,-22.525205203400603
556,5.565565565565565,-25.0,-22.49812125588721
557,5.575575575575575,-25.0,-22.47138330709255
558,5.585585585585585,-25.0,-22.444990144458533
559,5.595595595595595,-25.0,-22.41894041244791
560,5.605605605605605,-25.0,-22.393232620319065
561,5.615615615615615,-25.0,-22.367865149600622
562,5.625625625625625,-25.0,-22.342836261275984
563,5.635635635635635,-25.0,-22.318144102687867
564,5.645645645645645,-25.0,-22.29378671417235
565,5.655655655655655,-25.0,-22.269762035431903
566,5.665665665665665,-25.0,-22.246067911656166
567,5.675675675675675,-25.0,-22.222702099399513
568,5.685685685685685,-25.0,-22.19966227222346
569,5.6956956956956954,-25.0,-22.1769460261125
570,5.7057057057057055,-25.0,-22.154550884670837
571,5.7157157157157155,-25.0,-22.132474304108023
572,5.7257257257257255,-25.0,-22.110713678020602
573,5.7357357357357355,-25.0,-22.089266341977158
574,5.7457457457457455,-25.0,-22.068129577913414
575,5.7557557557557555,-25.0,-22.04730061834438
576,5.7657657657657655,-25.0,-22.026776650399682
577,5.7757757757757755,-25.0,-22.006554819688674
578,5.7857857857857855,-25.0,-21.986632234001064
579,5.7957957957957955,-25.0,-21.96700596684915
580,5.8058058058058055,-25.0,-21.947673060857188
581,5.8158158158158155,-25.0,-21.92863053100345
582,5.8258258258258255,-25.0,-21.909875367720126
583,5.8358358358358355,-25.0,-21.891404539856467
584,5.8458458458458455,-25.0,-21.873214997509677
585,5.8558558558558556,-25.0,-21.85530367472889
586,5.865865865865866,-25.0,-21.83766749209626
587,5.875875875875876,-25.0,-21.82030335919021
588,5.885885885885886,-25.0,-21.803208176934675
589,5.895895895895896,-25.0,-21.7863788398389
590,5.905905905905906,-25.0,-21.769812238131465
591,5.915915915915916,-25.0,-21.75350525979288
592,5.925925925925926,-25.0,-21.737454792490045
593,5.935935935935936,-25.0,-21.72165772541661
594,5.945945945945946,-25.0,-21.7061109510425
595,5.955955955955956,-25.0,-21.69081136677621
596,5.965965965965966,-25.0,-21.675755876542915
597,5.975975975975976,-25.0,-21.660941392281885
598,5.985985985985986,-25.0,-21.64636483536595
599,5.995995995995996,-25.0,-21.632023137946238
